number of copies, samples, average, deviation, rme (%)

1, 46, 0.04554347826086958, 0.002347163978924641, 1.489341844103174
2, 47, 0.09257446808510639, 0.009790733597888814, 3.023647440819773
3, 36, 0.13438888888888886, 0.0024527276685096947, 0.5961983749829272
4, 28, 0.1814285714285714, 0.008390596903803475, 1.7934344890222602
5, 22, 0.24972727272727277, 0.0402825518392763, 7.153243270206031
6, 21, 0.27128571428571435, 0.0049713464689443735, 0.8341646155618727
7, 19, 0.32084210526315793, 0.00931702836444431, 1.3997011267059671
8, 17, 0.37176470588235294, 0.011177708909726913, 1.5459521188748224
9, 16, 0.41775, 0.01872075497053115, 2.3874284166488255
10, 14, 0.4759285714285714, 0.016306979561451045, 1.9779781172036917
