number of copies, samples, average, deviation, rme (%)

1, 45, 0.09528888888888888, 0.007165644747436525, 2.197165771836483
2, 28, 0.17942857142857144, 0.015315033938919776, 3.3099749340836775
3, 8, 0.265375, 0.006412877669190336, 2.020594189974958
4, 8, 0.34287499999999993, 0.0033139316313319884, 0.8081535320243024
5, 8, 0.484, 0.08156329706780757, 14.090797156027968
6, 8, 0.5251250000000001, 0.021114906718105224, 3.362115463787417
7, 8, 0.5922499999999999, 0.00486239212146215, 0.6864850143547356
8, 8, 0.690125, 0.015932334597110513, 1.9303577784327823
9, 7, 0.9232857142857144, 0.07812749043649594, 7.826231817855153
10, 7, 0.908, 0.046036217626270436, 4.689199772599403
