number of copies, samples, average, deviation, rme (%)

1, 41, 0.11058536585365855, 0.028578816988948385, 7.910623794632166
2, 37, 0.1274594594594595, 0.025633739262709777, 6.480299818688397
3, 33, 0.1574545454545455, 0.025185674138648386, 5.457546929448158
4, 30, 0.17070000000000002, 0.0171487407801514, 3.7508647067583905
5, 22, 0.2638636363636364, 0.08396274426340783, 14.111041725697044
6, 11, 0.3341818181818182, 0.12185386180324215, 24.494880429101833
7, 8, 0.31725000000000003, 0.14423666068553545, 38.01545387693348
8, 8, 0.294375, 0.05979473818226577, 16.98432125102538
9, 8, 0.37162500000000004, 0.09917507967514536, 22.31432671019469
10, 8, 0.3596250000000001, 0.03347040270362543, 7.782107295744205
