number of copies, samples, average, deviation, rme (%)

1, 20, 0.29555, 0.009773621857352904, 1.5476715487993111
2, 13, 0.5811538461538461, 0.02014053191057837, 2.0944277036435066
3, 10, 0.8550000000000001, 0.018342421989596822, 1.5345575015255009
4, 9, 1.2047777777777777, 0.06488601116145486, 4.139826848795948
5, 8, 1.435625, 0.04507434335152793, 2.6252734570274954
6, 7, 1.7908571428571427, 0.05028064097784413, 2.596718137092915
7, 7, 2.072142857142857, 0.050210983431345634, 2.241114181457543
8, 7, 2.343857142857143, 0.04818861750603405, 1.9015085309402404
9, 6, 2.5738333333333334, 0.0488770566489704, 1.9932009037814442
10, 6, 2.8486666666666665, 0.07834198533779109, 2.8865520356949514
