number of copies, samples, average, deviation, rme (%)
1, 26, 0.06746153846153848, 0.016108817991833453, 9.646904515360491
3, 28, 0.09208928571428572, 0.021187458542045564, 8.922120863657636
5, 25, 0.10343999999999999, 0.02495926681615468, 9.960542673732263
8, 33, 0.15275757575757573, 0.041146104237696594, 9.190202181525226
10, 31, 0.1644838709677419, 0.041425331193801325, 9.236715390343313
15, 28, 0.18882142857142856, 0.03398480441634072, 6.979620934569181
20, 25, 0.21516, 0.028282326636965355, 5.42616863531293
30, 21, 0.2803333333333334, 0.034619840169089935, 5.62153571467229
40, 17, 0.36458823529411766, 0.06292858931313473, 8.874762628129055
50, 17, 0.39529411764705885, 0.028573949468620786, 3.7167326341725073
