number of copies, samples, average, deviation, rme (%)

1, 46, 0.09223913043478262, 0.004696025660580544, 1.4712701261605203
3, 22, 0.2604545454545453, 0.005637690110634837, 0.9598895275978792
5, 15, 0.42860000000000004, 0.0077992673648600835, 1.007820780259277
8, 12, 0.6823333333333333, 0.006945676658355454, 0.6467663157875505
10, 10, 0.8595, 0.01507941938169004, 1.2549642067513953
15, 7, 1.3295714285714286, 0.0998846954290415, 6.948198628244234
20, 6, 1.9715, 0.1182112515795345, 6.293445643656257
30, 6, 2.637333333333333, 0.15538940332811194, 6.184190035353699
40, 6, 3.4033333333333338, 0.014827901627225167, 0.4573004831349658
50, 6, 4.262833333333333, 0.041619306417415035, 1.0247618211055887
